username,comment,comment_time,like_counts
Evithur,爱可以跨越永恒，期待和各位拓荒者在亚夏大陆相见，一起寻找希望探索美好！,2020年6月16日,(660)
凉邪君,歌曲依旧好听，游戏慢慢变好，唯一依旧烂着的就是op的素质,2022年8月3日,(535)
我怀里有个十香,原神太飘了，必须要有限制，希望你游会是下一个战双，当然，不是诅咒开服炸服也来个黑卡事件，而是希望你能像战双一样，在口碑上能够站到崩崩崩左右，唯有良性的竞争才能共同进步，玩家福利才会更好,2020年6月17日,(404)
彡笙丶歌丿,幻塔唯一的贡献就是这曲子还不错，游戏是真的拉胯,2021年12月20日,(368)
嘉心糖们今天吃什么,据我所知，刚开始，幻塔只是完美旗下的一个小工作室出品的游戏，在2018年立项，他们没有优良的制作团队，在游戏发布第一个pv，就被某个游戏的玩家群起而攻之，直到现在，他们官方也没有发表过任何一个对标某款游戏的文章，视频广告。而某游戏玩家每次在这款游戏发布任何内容的时候都会像苍蝇一样围上来,2022年5月3日,(324)
lllllttttwwww,连歌底下都有op是我没想到的,2022年2月12日,(258)
leoooo咸蛋超人,"时间2022年1月27，白月魁版本更新当天，我只是想着12点上线抽一波白老板。正好下线前就在白鲸岛，当时我还从冰箱里拿了一根冰棒叼在嘴里，完全没注意游戏，这时候突然白鲸岛上空就升起了烟花，我就这么静静地看着烟火升空，然后绽放，背景就响起来这首歌。
突然有一阵感动涌上心头，我喜欢幻塔",2022年1月27日,(224)
油焖小白菜,今天探索完了沃兰雪原，至此终于把亚夏大陆五个地图全部探索完毕。爬上了地图中心的亚夏幻塔，每爬上一个阶梯，都要环顾一下这个熟悉的大陆，逐渐发现原来白鲸岛其实并不高，星岛和雪原其实并不远，海的尽头还有若隐若现的其他大陆。最后主题曲响起，让我觉得这个游戏哪怕作为单机，也足以令我感动满足,2022年1月6日,(205)
XuYuClint,幻塔白鲸岛烟花任务的背景音乐，配合着这首歌的旋律，烟火在空中绽放，一组烟花表演，一首歌，都显得那么短暂，但却是这场如此不完美的旅行中，唯一乐意停下脚步欣赏的几分钟，也许现实并不完美，但是只要有希望，我们就拥有了前往未来的信心和动力，幻塔，加油！,2022年1月28日,(187)
笨笨狗ailyc,是真的，拿幻塔和原神比实在不大好。我是两个游戏都玩，讲真的我都很喜欢。我个人是个喜欢冒险，剧情，pvp的玩家。原神节奏慢，画质唯美悠闲。幻塔节奏稍快，但是自由度高。我真的不喜欢拿这两个游戏比来比去。不是一个游戏多好就能封杀圈内的所有游戏。也不是一个游戏有很多bug就能否定制作者的用心,2022年2月21日,(164)
水起花落,幻塔，你的作品对得起你这首歌吗,2021年12月26日,(153)
源氏爱你哟,恭喜幻塔提名TGA最佳移动游戏,2022年11月15日,(145)
Leper_,幻塔唯一能打的就是这首主题曲了……,2021年12月20日,(131)
Ridiculer,第一次听到是在幻塔的官网里，当时就觉得挺像回事，是骡子是马先玩玩看。进入游戏后就是不停的刷主线遗迹旧日世界BOSS 卷战力，逐渐忘了这首歌。直到烟花这个必须 在特定时间完成的任务，让我在晚上白鲸岛挂机等待的瞬间，惊起了鸡皮疙瘩，漫天烟花配合这首歌曲，让人沉醉，曲终而后烟花毕。,2022年1月5日,(83)
音霸大奔奔,讲真，幻塔真的是有在认真做的，1.0主线跑到白鲸岛，来到一座漂浮在空中，废弃的，没有人的游乐场，只有两个语音系统都有问题的机械智仆陪着你看着游乐场的灯火，这时主题曲就开始放，末世的感觉就来了,2022年4月29日,(78)
力金梦,这首歌白鲸岛刚听的时候就让我蚌埠住想哭 这个音乐配合风景我瞬间回想起那些年玩FF14的日子 真的没绷住😭,01:04,(1)
每节课都在睡,4.1了，幻塔也走到了国产开放世界游戏的顶峰之一,7月10日 11:50,(2)
谁能单纯一辈子,当时火炬之光关服的时候，说过度到幻塔，还送东西，因为我年纪大了，已经没有年轻时那么多时间，于是没有玩，突然有天听到这首歌，发现很像我20年轻玩过的网络游戏配乐，不知道是飞飞还是神泣了。,7月8日 14:40,(2)
咕枭,这首歌的歌词给到《星际穿越》也很应景~ ”因为爱可以跨越永恒“,7月3日 09:35,(2)
---笛子---,虽然只玩了半年，已经两年没玩过了，剧情啥的都记不起来了，但是白鲸岛上的夜景真唯美，第一次跑着跑着突然漫天烟火，这个音乐响起来，太感动了,7月2日 23:17,(5)
来自异国的诗人,新登报道！格网终端无意放出的这首歌。真好听啊。,6月27日 06:40,(4)
光明听歌ing,啊，那不是冲刺吗？,6月26日 12:11,(0)
没有萌新的音乐咸鱼,是的，你评论下面已经有这种苍蝇了,6月26日 02:36,(0)
风起鹤归楓,我也想入坑啊，主要是mmo类型游戏我玩的不久啊,6月25日 09:16,(0)
朝春理樹,我们幻塔玩家欢迎广大原祥玩家入坑，毕竟龙仆已经数值膨胀了。面且抽卡资源给的巨扣。我们幻塔就不一样了，虽然它从未停止过数值膨胀，但架不住地图资源给的多啊,6月24日 21:24,(2)
比那名居夕妍,这游戏玩家不剩多少，女玩家更是没几个，看起来没什么动力出男角色了,6月24日 09:24,(0)
