username,comment,comment_time,like_counts
瓦斯vass,用无损音质听的这首歌，越听感人，我眼泪在眼睛里打转，最终没掉出来。听完歌才发现忘了开WiFi，眼泪当时就忍不住哗哗的流了下来。。。,2016年7月18日,(43.7万)
Minglass,女声是法国凯尔特歌手cecile corbel，并不是什么日韩，是吉卜力工作室借物少女艾莉缇的歌手。这首歌的风格在她的曲子里真的不多见了。我爱了她六年，求你们多一个赞让更多人看到歌手名字好吗?另外欢迎诸位到云音乐搜她的合集，非常棒!,2016年10月18日,(35.1万)
白蕉,为什么看评论会有一种看剧透的快感,2014年11月10日,(28.4万)
大概是个梨,好多人以为是纯音乐，机智的我点开了歌词，机智如我，我早已看穿一切,2015年8月21日,(26.5万)
D-eng,前奏跪，开口脆，曲终人已醉。,2016年1月11日,(21.2万)
未烬苍响,还没有过耳的时候收藏在健身歌单里面，举铁的时候随机到它，本来随着节奏举得好好的，突然女声一来整个人瞬间酥了····尼玛差点被铁砸平,2016年3月24日,(20.6万)
刻刻思婷,"每天不足六个小时的睡眠
两天用完一支的中性笔
无数杯速溶咖啡下活蹦乱跳的我们
当我穿过黑暗的黎明走向教学楼时我在想
我们是不是在透支着生命
但命运给了我一巴掌说
这些都不算什么 如果你想赢",2017年12月30日,(13.3万)
李小明嗯,女声一出，瞬间惊艳,2014年11月23日,(11.4万)
至少干净像风1,现在我有女朋友了，我九月份就要拿起枪去保护她了，她家有963多万平方公里。她家浴室有470多万平方公里,2019年1月4日,(11.2万)
帐号已注销,今早上学的时候，妹妹不幸出车祸了，还记得昨天晚上，五岁的妹妹非要拉着我玩捉迷藏，等我蒙上眼数完，看到她用小手捂着自己的眼睛，傻傻站在我面前，那一幕，已经成了永恒,2018年4月4日,(11万)
御坂美琴,"我的梦里
有你的光芒
爱再次绽放
萤火虫
在月光里
如闪烁的繁星
还记得吗
在那一天
我迷恋上了你
亲爱的，请不要伤害
我的心
抓紧我的手
靠近我的心
成为我爱人
不要放开我的手
闭上你的眼睛
你会看到
有道彩虹
连接你我的心",2015年8月11日,(10.5万)
神迹花园,我决定结婚就用这曲了！好有爱(⑉°з°)-♡,2016年3月27日,(64275)
帐号已注销,高考失利，没有考上心怡的大学，奶奶病重去世，爸爸妈妈离婚，rng也没有拿到s赛冠军，2018年真的很糟糕，可是我还是想努力活下去。,2018年10月21日,(50015)
